Time,Contract,Fill Type,Filled Qty,Exec.Price,Value,Fill ID,Side,Fee rate,Rebate,Fees paid,Order Type,Order Price,Order Qty,Unfilled Qty,Order ID,Client Order ID
2024-08-21 21:18:53.608345+05:30 IST Asia/Kolkata,BTCUSD,normal,1,59590.5,59.5905,50eab5479fb045a5855a660e72d59fa2,sell,0.0005,0,0.0351584,market_order,58164.5,42,41,110095663,
2024-08-21 21:17:36.744912+05:30 IST Asia/Kolkata,BTCUSD,normal,42,59725.5,2508.471,d7841fa403984c82a6ceeef6468614e8,buy,0.0002,0,0.59199916,limit_order,59725.5,42,0,110095142,
2024-08-21 21:15:35.867684+05:30 IST Asia/Kolkata,BTCUSD,normal,55,59742.5,3285.8375,3918f2dc50f94193b4b8408fc7bf268b,buy,0.0005,0,1.93864413,market_order,61220.5,55,0,110066616,
2024-08-21 21:04:35.637594+05:30 IST Asia/Kolkata,BTCUSD,normal,13,59637.5,775.2875,7db66f827ea548599f816f95b61b7822,sell,0.0005,0,0.45741963,market_order,58123.5,13,0,110083796,
2024-08-21 20:44:50.729660+05:30 IST Asia/Kolkata,BTCUSD,normal,18,59511,1071.198,87c57234645242fdaa8e65dd53604683,sell,0.0002,0,0.25280273,limit_order,59511,18,0,110066900,
2024-08-21 20:28:44.312184+05:30 IST Asia/Kolkata,BTCUSD,normal,24,59445.5,1426.692,409c2b6412824ff3bb9f295014b9d2d7,sell,0.0002,0,0.33669932,limit_order,59445.5,24,0,110053515,
2024-08-21 14:32:03.817712+05:30 IST Asia/Kolkata,BTCUSD,normal,7,59416.5,415.9155,b7e6ec925f8b4c448bcd392e209ddf50,sell,0.0005,0,0.24539015,market_order,57945.5,7,0,109721511,
2024-08-21 14:05:22.929718+05:30 IST Asia/Kolkata,BTCUSD,normal,7,59528,416.696,5f666a66b04b4829bd93d101a8fa9684,buy,0.0005,0,0.24585064,limit_order,59804.5,7,0,109721373,
2024-08-21 14:04:41.043600+05:30 IST Asia/Kolkata,BTCUSD,normal,8,59515,476.12,d031d58684c74c328055686abf0dd358,buy,0.0005,0,0.2809108,market_order,60981.5,8,0,109717579,
2024-08-21 14:01:33.362233+05:30 IST Asia/Kolkata,BTCUSD,normal,8,59434.5,475.476,35599b63d3704414931366b74d0f5df3,sell,0.0005,0,0.28053084,limit_order,59425,8,0,109717517,
2024-08-20 21:33:00.449322+05:30 IST Asia/Kolkata,BTCUSD,normal,7,58943.5,412.6045,df35e168cba8417e9a3f67e6bb8bf331,buy,0.0005,0,0.24343666,market_order,60312,7,0,109274290,
2024-08-20 20:49:37.084966+05:30 IST Asia/Kolkata,BTCUSD,normal,1,5.91E+4,59.1,679de28faf4348259fdc2af4d04335e1,sell,0.0002,0,0.0139476,limit_order,59100,7,0,109268802,
2024-08-20 20:49:37.002417+05:30 IST Asia/Kolkata,BTCUSD,normal,6,5.91E+4,354.6,3be60eaed0dd4d5db148463332e4d7c2,sell,0.0002,0,0.0836856,limit_order,59100,7,1,109268802,
2024-08-20 20:12:04.094054+05:30 IST Asia/Kolkata,BTCUSD,normal,5,59589.5,297.9475,6d16142f2eee4c0b933ffd43a77a3cce,buy,0.0005,0,0.17578903,market_order,61233,5,0,109175228,
2024-08-20 20:05:20.589581+05:30 IST Asia/Kolkata,BTCUSD,normal,5,59901.5,299.5075,deec084d39304bf4a8bd35d0564ebaa0,sell,0.0005,0,0.17670943,market_order,58485,5,0,109173688,
2024-08-20 18:31:24.853017+05:30 IST Asia/Kolkata,BTCUSD,normal,5,60554,302.77,36f41dac874e43c6b152c2ac7f6b0db2,sell,0.0005,0,0.1786343,market_order,59106.5,5,0,108974312,
2024-08-20 16:39:35.193591+05:30 IST Asia/Kolkata,BTCUSD,normal,5,60654.5,303.2725,3bce328e98f14fa4adad05482fb3c8a3,buy,0.0005,0,0.17893078,market_order,62156,5,0,108972513,
2024-08-20 16:39:02.356028+05:30 IST Asia/Kolkata,BTCUSD,normal,10,60632,606.32,c7508f54a5144e9ab63812f7f50fe212,sell,0.0005,0,0.3577288,market_order,59171.5,10,0,108950915,
2024-08-20 15:49:33.040732+05:30 IST Asia/Kolkata,BTCUSD,normal,2,6.075E+4,121.5,6c41af6112ae46968e951c18ace1333a,buy,0.0005,0,0.071685,market_order,62291.5,2,0,108951675,
2024-08-20 15:42:53.973592+05:30 IST Asia/Kolkata,BTCUSD,normal,8,60788.5,486.308,471dd9dee04848f4a5f9ec59fa7c0ae1,buy,0.0005,0,0.28692172,market_order,62303,8,0,108950126,
2024-08-20 00:01:27.875769+05:30 IST Asia/Kolkata,BTCUSD,normal,8,58999.5,471.996,e5262351fb29473c9a1b5bd9bf5399cd,sell,0.0005,0,0.27847764,market_order,57456,8,0,108533915,
2024-08-19 23:44:00.305761+05:30 IST Asia/Kolkata,BTCUSD,normal,8,58743,469.944,9ab5a64873d7482a97c42aa3c58a004a,buy,0.0002,0,0.11090679,limit_order,58743,8,0,108524788,
2024-08-19 23:21:18.768819+05:30 IST Asia/Kolkata,ETHUSD,normal,13,2599.65,337.9545,abaf284f9fd946368e2f87da034e65c6,sell,0.0005,0,0.19939316,market_order,2541.25,13,0,108493094,
2024-08-19 23:13:53.989119+05:30 IST Asia/Kolkata,ETHUSD,normal,13,2611.3,339.469,37ab31fea70142b0ab0d900d36603def,buy,0.0005,0,0.20028671,market_order,2676.6,13,0,108492835,
2024-08-19 23:12:47.995089+05:30 IST Asia/Kolkata,BTCUSD,normal,3,58968,176.904,06bad2ec9acd4242aeb286cda3bc4376,sell,0.0005,0,0.10437336,market_order,57559,13,0,108491178,
2024-08-19 23:12:47.995031+05:30 IST Asia/Kolkata,BTCUSD,normal,10,58968,589.68,ff8241473ce948dd93e57de23cad764c,sell,0.0005,0,0.3479112,market_order,57559,13,3,108491178,
2024-08-19 23:12:14.257703+05:30 IST Asia/Kolkata,BTCUSD,normal,13,59036,767.468,af9ff5957f574c3ea62241037ea3d002,buy,0.0005,0,0.45280612,market_order,60549,13,0,108488705,
2024-08-19 23:11:25.385620+05:30 IST Asia/Kolkata,BTCUSD,normal,18,59052,1062.936,f50e63a4a08b4227a24bef6e35bfa8fe,sell,0.0005,0,0.62713224,market_order,57641,18,0,108479626,
2024-08-19 23:09:14.396346+05:30 IST Asia/Kolkata,BTCUSD,normal,18,59159.5,1064.871,b02158cb204641e59a010aad1e292b0e,buy,0.0005,0,0.62827389,market_order,60611.5,18,0,108474488,
2024-08-19 22:44:36.792343+05:30 IST Asia/Kolkata,BTCUSD,normal,10,58621,586.21,20b2bdd4ae3f49ae812d0ab159a98b61,sell,0.0005,0,0.3458639,market_order,57188.5,10,0,108374397,
2024-08-19 22:22:27.694881+05:30 IST Asia/Kolkata,BTCUSD,normal,10,58593,585.93,dfeb88636867478daa5e825d2acd6697,buy,0.0002,0,0.13827948,limit_order,58593,10,0,108370880,
2024-08-19 22:21:40.139748+05:30 IST Asia/Kolkata,BTCUSD,normal,5,58596,292.98,c7b17482ff684dc2af79ee42198ad3f7,buy,0.0005,0,0.1728582,market_order,60043.5,5,0,108370743,
2024-08-19 22:12:49.679484+05:30 IST Asia/Kolkata,BTCUSD,normal,5,58459.5,292.2975,f24f0d18072a49cdbb19870aeded7a1b,sell,0.0005,0,0.17245553,limit_order,58353,5,0,108366363,
2024-08-19 20:47:18.763838+05:30 IST Asia/Kolkata,BTCUSD,normal,2,58527.5,117.055,5d98f1fdadce4eb7adbe50ebe55065f5,sell,0.0005,0,0.06906245,market_order,57093.5,2,0,108318848,
2024-08-19 20:19:28.370442+05:30 IST Asia/Kolkata,BTCUSD,normal,2,58410.5,116.821,c251cc7f100a4d0d9240c7416195466b,buy,0.0005,0,0.06892439,market_order,59878,2,0,108305360,
2024-08-19 00:48:38.235787+05:30 IST Asia/Kolkata,BTCUSD,normal,10,59641,596.41,02db9d482ad246eb8204ad51349b2577,buy,0.0005,0,0.3518819,market_order,61098.5,10,0,107691990,
2024-08-19 00:48:37.140936+05:30 IST Asia/Kolkata,BTCUSD,normal,2,59635,119.27,276c698ad4ee47f8b2dc77140405416c,sell,0.0002,0,0.02814772,limit_order,59635,5,0,107569448,
2024-08-19 00:48:37.139229+05:30 IST Asia/Kolkata,BTCUSD,normal,3,59635,178.905,a0c1ea7ef469427e95dc54ffcbd0f2c0,sell,0.0002,0,0.04222158,limit_order,59635,5,2,107569448,
2024-08-18 21:04:49.738906+05:30 IST Asia/Kolkata,BTCUSD,normal,5,5.989E+4,299.45,89f0563af8844712818ef2e2c2015696,sell,0.0005,0,0.1766755,limit_order,59890,5,0,107569273,
2024-08-18 21:04:28.694060+05:30 IST Asia/Kolkata,BTCUSD,normal,5,59878.5,299.3925,3673be8949d34704b6694c0d010a15ba,buy,0.0005,0,0.17664158,limit_order,60091,5,0,107569202,
2024-08-18 21:02:56.085565+05:30 IST Asia/Kolkata,BTCUSD,normal,5,59834.5,299.1725,6ea4227e175b4c2289692e48141e397f,sell,0.0005,0,0.17651178,market_order,58326.5,5,0,107568693,
2024-08-18 18:21:49.597301+05:30 IST Asia/Kolkata,BTCUSD,normal,9,60020.5,540.1845,3a399315eae74e4991ecdca814633316,buy,0.0005,0,0.31870886,market_order,61499.5,9,0,107467348,
2024-08-18 18:16:10.802821+05:30 IST Asia/Kolkata,BTCUSD,normal,5,6.025E+4,301.25,0620921ba8f84d6fb6226088f9a6c70e,sell,0.0002,0,0.071095,limit_order,60250,5,0,107458985,
2024-08-18 18:11:11.709884+05:30 IST Asia/Kolkata,BTCUSD,normal,4,60121,240.484,90e76715c08f4cb4a867ae6487f1e775,sell,0.0005,0,0.14188556,market_order,58608,4,0,107457820,
2024-08-18 15:19:59.681385+05:30 IST Asia/Kolkata,BTCUSD,normal,4,59828,239.312,e69e314fe6594f17a752a3b2eb1fc616,sell,0.0005,0,0.14119408,market_order,58308,4,0,107278639,
